name,method,config command,csr_time,best_time
bcsstk38,q_sa_searching,2 j 2 j0 16 j1 256 i 2 i0 64 i1 64 4 A 4 i0 j0 i1 j1 B 4 i0 j0 i1 j1 C 4 i0 j0 i1 j1 D 4 i0 j0 i1 j1 A 4 i0 1 i1 2 j0 2 j1 3 B 4 i0 0 i1 1 j0 1 j1 0 C 4 i0 0 i1 1 j0 2 j1 0 D 4 i0 1 i1 2 j0 2 j1 3 0 4 i0 j0 i1 j1 i0 None None 0 104 4,5.913535118103027,0.543302595615387
mhd4800a,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,2.1865174770355225,0.49569904804229736
conf5_0-4x4-18,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,1.8403098583221436,0.5350862741470337
cca,q_sa_searching,2 i 2 i0 32768 i1 1 j 2 j0 128 j1 256 4 A 4 j0 j1 i0 i1 B 4 j0 j1 i0 i1 C 4 j0 j1 i0 i1 D 4 j0 j1 i0 i1 A 4 i0 1 i1 0 j0 0 j1 0 B 4 i0 2 i1 0 j0 2 j1 1 C 4 i0 2 i1 0 j0 0 j1 0 D 4 i0 2 i1 0 j0 2 j1 1 0 4 j0 j1 i0 i1 j0 i1 None 0 104 256,3.535482406616211,0.9901651740074158
Trefethen_20000,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,7.628229141235352,2.537217617034912
pf2177,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,7.687201023101807,3.481372356414795
msc10848,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,9.391311645507812,5.600580215454102
cfd1,q_sa_searching,2 i 2 i0 256 i1 256 j 2 j0 256 j1 256 4 A 4 i0 j0 j1 i1 B 4 i0 j0 j1 i1 C 4 i0 j0 j1 i1 D 4 i0 j0 j1 i1 A 4 i0 0 i1 3 j0 2 j1 2 B 4 i0 1 i1 3 j0 2 j1 2 C 4 i0 0 i1 1 j0 2 j1 2 D 4 i0 1 i1 3 j0 2 j1 2 0 4 i0 j0 j1 i1 i0 None None 0 104 8,13.736074447631836,8.851054191589355
net100,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,14.49496841430664,9.15299129486084
vanbody,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,15.27575397491455,10.847478866577148
net150,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,18.766969680786133,14.126986503601074
Chevron3_4x16_1,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,26.462011337280273,21.883819580078125
vibrobox_1x1_0,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,25.74835777282715,21.194034576416016
NACA0015_16x8_9,q_sa_searching,2 j 2 j0 128 j1 32 i 2 i0 512 i1 256 4 A 4 j0 i0 j1 i1 B 4 j0 i0 j1 i1 C 4 j0 i0 j1 i1 D 4 j0 i0 j1 i1 A 4 i0 1 i1 1 j0 0 j1 0 B 4 i0 0 i1 1 j0 1 j1 1 C 4 i0 1 i1 2 j0 1 j1 0 D 4 i0 1 i1 2 j0 1 j1 1 0 4 j0 i0 j1 i1 None None None 0 104 1,19.68431854248047,14.055516242980957
nemspmm1_16x4_0,q_sa_searching,2 j 2 j0 128 j1 64 i 2 i0 16 i1 256 4 A 4 j0 j1 i0 i1 B 4 j0 j1 i0 i1 C 4 j0 j1 i0 i1 D 4 j0 j1 i0 i1 A 4 i0 1 i1 0 j0 1 j1 0 B 4 i0 1 i1 0 j0 0 j1 1 C 4 i0 0 i1 1 j0 0 j1 0 D 4 i0 1 i1 1 j0 1 j1 1 0 4 j0 j1 i0 i1 j0 None None 0 104 2,5.387736797332764,0.6646775007247925
Trec6_16x16_9,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,1.0636056661605835,0.7760958671569824
crystk01_2x16_1,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,5.8914079666137695,4.667126655578613
t2dal_a_8x4_3,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,11.114786148071289,6.918052673339844
EX1_8x8_4,q_sa_searching,2 j 2 j0 16 j1 256 i 2 i0 64 i1 64 4 A 4 i0 j0 i1 j1 B 4 i0 j0 i1 j1 C 4 i0 j0 i1 j1 D 4 i0 j0 i1 j1 A 4 i0 1 i1 1 j0 2 j1 0 B 4 i0 0 i1 0 j0 1 j1 0 C 4 i0 0 i1 0 j0 1 j1 1 D 4 i0 1 i1 1 j0 2 j1 1 0 4 i0 j0 i1 j1 i0 None None 0 104 1,7.6208391189575195,0.8067601919174194
net100,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,13.833308219909668,9.359493255615234
vanbody,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,15.641124725341797,10.984488487243652
net150,q_sa_searching,0 4 A 2 i j B 2 i j C 2 i j D 2 i j A 2 i 0 j 1 B 2 i 0 j 1 C 2 i 0 j 1 D 2 i 0 j 1 0 0 None None None 0 104 64,19.18107795715332,14.040026664733887
Chevron3_4x16_1,q_sa_searching,2 i 2 i0 512 i1 256 j 2 j0 128 j1 64 4 A 4 i0 j0 i1 j1 B 4 i0 j0 i1 j1 C 4 i0 j0 i1 j1 D 4 i0 j0 i1 j1 A 4 i0 1 i1 1 j0 0 j1 0 B 4 i0 1 i1 1 j0 1 j1 1 C 4 i0 1 i1 1 j0 1 j1 0 D 4 i0 1 i1 1 j0 1 j1 1 0 4 i0 j0 i1 j1 None None None 0 104 128,25.333301544189453,9.498994827270508
vibrobox_1x1_0,q_sa_searching,2 i 2 i0 256 i1 256 j 2 j0 64 j1 64 4 A 4 j0 i0 j1 i1 B 4 j0 i0 j1 i1 C 4 j0 i0 j1 i1 D 4 j0 i0 j1 i1 A 4 i0 0 i1 1 j0 1 j1 1 B 4 i0 1 i1 1 j0 1 j1 0 C 4 i0 1 i1 2 j0 1 j1 1 D 4 i0 1 i1 2 j0 1 j1 1 0 4 j0 i0 j1 i1 None None None 0 104 256,25.657407760620117,20.67970848083496
