Id,Group,Name,Num Rows,Num Cols,Num Nonzero,Sparsity,DType,Is 2D/3D,Is SPD,Pattern Symmetry,Numerical Symmetry,Kind,File Path
1,HB,1138_bus,1138,1138,4054,0.003130395569571381,real,False,True,1.0,1.0,power network problem,1138_bus.mat
2,HB,494_bus,494,494,1666,0.006826861610582045,real,False,True,1.0,1.0,power network problem,494_bus.mat
3,HB,662_bus,662,662,2474,0.005645256980129791,real,False,True,1.0,1.0,power network problem,662_bus.mat
4,HB,685_bus,685,685,3249,0.006924183494059353,real,False,True,1.0,1.0,power network problem,685_bus.mat
5,HB,abb313,313,176,1557,0.028263868719140283,binary,False,False,0.0,0.0,least squares problem,abb313.mat
7,HB,ash219,219,85,438,0.023529411764705882,binary,False,False,0.0,0.0,least squares problem,ash219.mat
8,HB,ash292,292,292,2208,0.02589604053293301,binary,False,False,1.0,1.0,least squares problem,ash292.mat
9,HB,ash331,331,104,662,0.019230769230769232,binary,False,False,0.0,0.0,least squares problem,ash331.mat
10,HB,ash608,608,188,1216,0.010638297872340425,binary,False,False,0.0,0.0,least squares problem,ash608.mat
11,HB,ash85,85,85,523,0.07238754325259517,binary,False,False,1.0,1.0,least squares problem,ash85.mat
12,HB,ash958,958,292,1916,0.00684931506849315,binary,False,False,0.0,0.0,least squares problem,ash958.mat
13,HB,bcspwr01,39,39,131,0.0861275476660092,binary,False,False,1.0,1.0,power network problem,bcspwr01.mat
14,HB,bcspwr02,49,49,167,0.06955435235318617,binary,False,False,1.0,1.0,power network problem,bcspwr02.mat
15,HB,bcspwr03,118,118,476,0.034185578856650384,binary,False,False,1.0,1.0,power network problem,bcspwr03.mat
16,HB,bcspwr04,274,274,1612,0.02147157547019021,binary,False,False,1.0,1.0,power network problem,bcspwr04.mat
17,HB,bcspwr05,443,443,1623,0.008270105834934191,binary,False,False,1.0,1.0,power network problem,bcspwr05.mat
18,HB,bcspwr06,1454,1454,5300,0.0025069579909522467,binary,False,False,1.0,1.0,power network problem,bcspwr06.mat
19,HB,bcspwr07,1612,1612,5824,0.0022412551028576,binary,False,False,1.0,1.0,power network problem,bcspwr07.mat
20,HB,bcspwr08,1624,1624,6050,0.0022939467106699992,binary,False,False,1.0,1.0,power network problem,bcspwr08.mat
21,HB,bcspwr09,1723,1723,6511,0.0021931944613334526,binary,False,False,1.0,1.0,power network problem,bcspwr09.mat
22,HB,bcspwr10,5300,5300,21842,0.0007775720897116412,binary,False,False,1.0,1.0,power network problem,bcspwr10.mat
78,HB,beacxc,497,506,50409,0.20044774576311625,real,False,False,0.0,0.0,economic problem,beacxc.mat
79,HB,beaflw,497,507,53403,0.21193432786065505,real,False,False,0.0,0.0,economic problem,beaflw.mat
80,HB,beause,497,507,44551,0.17680441624103596,real,False,False,0.0,0.0,economic problem,beause.mat
82,HB,bp_0,822,822,3276,0.004848420267462305,real,False,False,0.00916030534351145,0.001221374045801527,optimization problem sequence,bp_0.mat
83,HB,bp_1000,822,822,4661,0.006898195014237424,real,False,False,0.009448142581060769,0.0004294610264118531,subsequent optimization problem,bp_1000.mat
84,HB,bp_1200,822,822,4726,0.006994393829068027,real,False,False,0.009322033898305085,0.000423728813559322,subsequent optimization problem,bp_1200.mat
85,HB,bp_1400,822,822,4790,0.007089112662132003,real,False,False,0.01044932079414838,0.0004179728317659352,subsequent optimization problem,bp_1400.mat
86,HB,bp_1600,822,822,4841,0.00716459173222986,real,False,False,0.01075491209927611,0.0004136504653567735,subsequent optimization problem,bp_1600.mat
87,HB,bp_200,822,822,3802,0.005626890676706863,real,False,False,0.00631578947368421,0.0,subsequent optimization problem,bp_200.mat
88,HB,bp_400,822,822,4028,0.005961366555964031,real,False,False,0.00546448087431694,0.0004967709885742673,subsequent optimization problem,bp_400.mat
89,HB,bp_600,822,822,4172,0.006174483930357978,real,False,False,0.006235011990407674,0.0004796163069544365,subsequent optimization problem,bp_600.mat
90,HB,bp_800,822,822,4534,0.006710237329876096,real,False,False,0.005298013245033113,0.0004415011037527594,subsequent optimization problem,bp_800.mat
140,HB,eris1176,1176,1176,18552,0.013414549493266694,binary,False,False,1.0,1.0,power network problem,eris1176.mat
155,HB,gemat1,4929,10595,46591,0.0008921589831865439,real,False,False,0.0,0.0,power network problem,gemat1.mat
156,HB,gemat11,4929,4929,33108,0.0013627472371830944,real,False,False,0.001326419872181358,0.0,power network problem sequence,gemat11.mat
157,HB,gemat12,4929,4929,33044,0.0013601129547383764,real,False,False,0.001450063440275512,0.0,subsequent power network problem,gemat12.mat
158,HB,gent113,113,113,655,0.05129610776098363,binary,False,False,0.05663716814159292,0.05663716814159292,statistical/mathematical problem,gent113.mat
160,HB,gre_1107,1107,1107,5664,0.004621979372458585,real,False,False,0.0,0.0,directed weighted graph,gre_1107.mat
161,HB,gre_115,115,115,421,0.03183364839319471,real,False,False,0.2549019607843137,0.0,directed weighted graph,gre_115.mat
162,HB,gre_185,185,185,975,0.028487947406866325,real,False,False,0.4146341463414634,0.0,directed weighted graph,gre_185.mat
163,HB,gre_216a,216,216,812,0.0174039780521262,real,False,False,0.0,0.0,directed weighted graph,gre_216a.mat
164,HB,gre_216b,216,216,812,0.0174039780521262,real,False,False,0.0,0.0,directed weighted graph,gre_216b.mat
165,HB,gre_343,343,343,1310,0.011134816275531454,real,False,False,0.0,0.0,directed weighted graph,gre_343.mat
166,HB,gre_512,512,512,1976,0.007537841796875,real,False,False,0.0,0.0,directed weighted graph,gre_512.mat
167,HB,hor_131,434,434,4182,0.022202637558665504,real,False,False,1.0,0.3740661686232657,directed weighted graph,hor_131.mat
168,HB,ibm32,32,32,126,0.123046875,binary,False,False,0.0851063829787234,0.0851063829787234,directed graph,ibm32.mat
169,HB,illc1033,1033,320,4719,0.01427577444336883,real,False,False,0.0,0.0,least squares problem,illc1033.mat
170,HB,illc1850,1850,712,8636,0.006556331612511388,real,False,False,0.0,0.0,least squares problem,illc1850.mat
171,HB,impcol_a,207,207,572,0.013349203015239562,real,False,False,0.02482269503546099,0.01063829787234043,chemical process simulation problem,impcol_a.mat
172,HB,impcol_b,59,59,271,0.07785119218615341,real,False,False,0.09491525423728814,0.0,chemical process simulation problem,impcol_b.mat
173,HB,impcol_c,137,137,400,0.021311737439394747,real,False,False,0.04444444444444445,0.01146131805157593,chemical process simulation problem,impcol_c.mat
174,HB,impcol_d,425,425,1255,0.006948096885813149,real,False,False,0.05674846625766871,0.0228198859005705,chemical process simulation problem,impcol_d.mat
175,HB,impcol_e,225,225,1303,0.025738271604938273,real,False,False,0.1038338658146965,0.001603849238171612,chemical process simulation problem,impcol_e.mat
185,HB,jgl009,9,9,50,0.6172839506172839,binary,False,False,0.4761904761904762,0.4761904761904762,counter-example problem,jgl009.mat
186,HB,jgl011,11,11,76,0.628099173553719,binary,False,False,0.5151515151515151,0.5151515151515151,counter-example problem,jgl011.mat
208,HB,mahindas,1258,1258,7682,0.004854148078687497,real,False,False,0.01663146779303062,0.0,economic problem,mahindas.mat
209,HB,mbeacxc,496,496,49920,0.20291363163371487,real,False,False,0.3162614104531868,0.0,economic problem,mbeacxc.mat
210,HB,mbeaflw,496,496,49920,0.20291363163371487,real,False,False,0.3162614104531868,0.0,economic problem,mbeaflw.mat
211,HB,mbeause,496,496,41063,0.1669119081685744,real,False,False,0.2190689324447286,0.007771192484568281,economic problem,mbeause.mat
224,HB,orani678,2529,2529,90158,0.014096347923595976,real,False,False,0.07068607068607069,2.223531635296341e-05,economic problem,orani678.mat
235,HB,psmigr_1,3140,3140,543160,0.0550894559617023,real,False,False,0.4786508697793794,0.01044772250019444,economic problem,psmigr_1.mat
236,HB,psmigr_2,3140,3140,540022,0.0547711874721084,real,False,False,0.4786508697793794,0.0,economic problem,psmigr_2.mat
237,HB,psmigr_3,3140,3140,543160,0.0550894559617023,real,False,False,0.4786508697793794,0.0,economic problem,psmigr_3.mat
238,HB,rgg010,10,10,76,0.76,binary,False,False,0.6363636363636364,0.6363636363636364,counter-example problem,rgg010.mat
247,HB,shl_0,663,663,1687,0.003837850257866228,real,False,False,0.0,0.0,optimization problem sequence,shl_0.mat
248,HB,shl_200,663,663,1726,0.003926573529980504,real,False,False,0.0,0.0,subsequent optimization problem,shl_200.mat
249,HB,shl_400,663,663,1712,0.003894724150247174,real,False,False,0.0,0.0,subsequent optimization problem,shl_400.mat
254,HB,str_0,363,363,2454,0.018623500216287593,real,False,False,0.004893964110929853,0.0,optimization problem sequence,str_0.mat
255,HB,str_200,363,363,3068,0.02328316978955597,real,False,False,0.01108936725375081,0.0,subsequent optimization problem,str_200.mat
256,HB,str_400,363,363,3157,0.023958594206528093,real,False,False,0.0196513470681458,0.0,subsequent optimization problem,str_400.mat
257,HB,str_600,363,363,3279,0.02488445689046741,real,False,False,0.01893129770992366,0.0,subsequent optimization problem,str_600.mat
